Date,Open,High,Low,Close,Volume,Adj Close
2014-01-22,212.00,212.65,209.70,211.00,1750700,201.33
2014-01-21,213.00,214.00,211.75,212.20,1446600,202.47
2014-01-20,209.40,212.25,208.15,211.30,1235400,201.62
2014-01-17,211.45,214.50,207.70,208.70,2856000,199.13
2014-01-16,215.00,215.90,209.25,210.80,5084100,201.14
2014-01-15,208.85,213.90,208.50,212.95,2469800,203.19
2014-01-14,206.00,210.20,205.20,207.60,2609700,198.09
2014-01-13,203.25,206.00,201.70,204.60,1877100,195.22
2014-01-10,208.00,209.60,202.00,202.75,3017600,193.46
2014-01-09,211.20,213.05,207.00,207.55,2826500,198.04
2014-01-08,210.80,212.50,209.20,210.40,1358400,200.76
2014-01-07,212.95,215.25,206.45,209.70,2116900,200.09
2014-01-06,214.10,215.15,210.00,212.35,1775400,202.62
2014-01-03,210.60,216.75,208.25,215.15,3121100,205.29
2014-01-02,221.05,224.65,210.05,211.55,3751000,201.85
2014-01-01,220.05,224.00,219.25,221.70,2849700,211.54
2013-12-31,218.20,219.90,215.70,219.25,3035200,209.20
2013-12-30,217.50,218.85,215.00,216.75,1605100,206.82
2013-12-27,217.20,220.90,216.25,217.00,2435200,207.05
2013-12-26,216.50,217.50,213.50,215.45,3260600,205.58
2013-12-25,215.90,215.90,215.90,215.90,000,206.00
2013-12-24,217.40,219.00,214.50,215.90,3140300,206.00
2013-12-23,209.85,217.50,209.05,215.35,4853400,205.48
2013-12-20,201.50,209.35,199.85,208.80,5506800,199.23
2013-12-19,206.45,206.90,200.80,201.65,3208900,192.41
2013-12-18,198.45,205.25,198.00,204.15,3933000,194.79
2013-12-17,200.00,202.70,197.55,198.45,3167300,189.35
2013-12-16,196.35,201.20,196.35,199.00,1717100,189.88
2013-12-13,199.95,201.90,197.75,198.25,3629900,189.16
2013-12-12,201.35,204.35,200.25,200.90,1947600,191.69
2013-12-11,201.00,202.50,198.60,201.45,4247600,192.22
2013-12-10,207.00,207.00,201.75,202.45,2458000,193.17
2013-12-09,209.50,209.50,205.10,206.50,5272500,197.04
2013-12-06,202.00,204.50,201.50,202.40,2462700,193.12
2013-12-05,206.00,206.90,201.80,202.45,4233600,193.17
2013-12-04,205.55,206.50,200.65,201.60,3117700,192.36
2013-12-03,207.35,209.90,205.35,205.80,2229700,196.37
2013-12-02,209.05,210.85,206.50,207.95,2572800,198.42
2013-11-29,207.10,210.70,206.55,208.05,2063000,198.51
2013-11-28,205.00,209.05,204.20,206.60,3444200,197.13
2013-11-27,207.10,207.55,199.75,201.95,5317100,192.69
2013-11-26,211.00,213.25,206.55,207.20,1806700,197.70
2013-11-25,213.05,215.00,208.50,210.45,2707900,200.80
2013-11-22,210.75,214.50,208.00,209.90,1606700,200.28
2013-11-21,218.95,218.95,208.90,209.70,2656900,200.09
2013-11-20,226.50,227.35,219.50,220.70,2693700,210.58
2013-11-19,225.55,228.80,224.25,227.05,1459400,216.64
2013-11-18,225.00,228.25,223.70,227.25,2510700,216.83
2013-11-15,220.35,220.35,220.35,220.35,000,210.25
2013-11-14,211.65,221.45,211.25,220.35,3229400,210.25
2013-11-13,210.10,213.90,207.70,208.65,1991900,199.09
2013-11-12,209.75,214.20,209.10,210.95,2038200,201.28
2013-11-11,211.95,214.70,206.75,209.00,1933600,199.42
2013-11-08,215.90,218.15,210.10,212.10,2440300,202.38
2013-11-07,223.80,226.10,216.30,217.55,2443300,207.58
2013-11-06,230.00,231.40,222.40,223.80,1978300,213.54
2013-11-05,226.15,232.10,219.05,229.00,3162500,218.50
2013-11-04,227.05,227.05,227.05,227.05,000,216.64
2013-11-01,225.00,231.50,222.80,227.05,3323200,216.64
2013-10-31,220.50,225.45,219.60,224.55,3669100,214.26
2013-10-30,210.00,219.90,208.40,219.05,7932300,209.01
2013-10-29,200.40,209.00,198.35,207.55,4194500,198.04
2013-10-28,208.55,209.45,200.15,201.50,1612100,192.26
2013-10-25,209.55,210.15,205.50,207.30,1483100,197.80
2013-10-24,210.50,214.60,208.50,209.85,2516800,200.23
2013-10-23,209.95,214.55,206.50,210.10,3307900,200.47
2013-10-22,206.40,212.40,206.00,208.90,2044000,199.33
2013-10-21,205.35,208.90,203.30,208.05,2145000,198.51
2013-10-18,198.20,205.80,198.20,205.00,2510000,195.60
2013-10-17,202.35,203.95,196.10,197.35,2586700,188.31
2013-10-16,201.30,201.30,201.30,201.30,000,192.07
2013-10-15,209.45,212.35,200.35,201.30,2953100,192.07
2013-10-14,208.85,209.80,206.00,207.50,1671000,197.99
2013-10-11,215.60,215.75,206.50,208.95,1954700,199.37
2013-10-10,212.55,215.60,211.00,212.45,2601700,202.71
2013-10-09,204.90,213.00,202.10,211.60,3177700,201.90
2013-10-08,209.90,211.00,203.90,205.45,2921900,196.03
2013-10-07,207.30,209.65,202.50,204.65,3389700,195.27
2013-10-04,198.00,207.90,196.70,206.15,4888700,196.70
2013-10-03,196.00,200.65,194.70,198.35,2434200,189.26
2013-10-02,192.60,192.60,192.60,192.60,000,183.77
2013-10-01,188.55,194.90,187.80,192.60,1644600,183.77
2013-09-30,190.80,190.80,185.40,187.95,1769700,179.34
2013-09-27,198.25,200.05,191.25,192.50,2675100,183.68
2013-09-26,198.00,201.00,196.25,198.20,3012800,189.12
2013-09-25,197.40,199.40,192.60,198.60,2319000,189.50
2013-09-24,193.00,197.80,190.40,196.30,2672800,187.30
2013-09-23,203.90,207.35,193.20,194.30,4290500,185.39
2013-09-20,206.35,211.00,192.60,207.80,10572400,198.28
2013-09-19,196.00,208.45,195.60,204.60,7030200,195.22
2013-09-18,184.50,192.60,183.55,190.00,2394400,181.29
2013-09-17,187.30,187.30,183.00,184.05,2435300,175.61
2013-09-16,188.00,192.45,183.90,186.75,4603400,178.19
2013-09-13,180.95,186.35,179.20,183.80,2745200,175.38
2013-09-12,188.00,189.75,179.50,181.00,3277500,172.70
2013-09-11,186.10,191.45,182.55,187.35,5320800,178.76
2013-09-10,176.25,186.45,176.25,185.45,5186400,176.95
2013-09-09,173.90,173.90,173.90,173.90,000,165.93
2013-09-06,168.50,175.00,165.65,173.90,4805200,165.93
2013-09-05,164.10,168.45,163.00,167.05,4941100,159.39
2013-09-04,155.50,161.10,152.80,157.90,4799700,150.66
2013-09-03,170.00,170.50,155.50,156.70,4022300,149.52
2013-09-02,167.00,171.75,166.90,168.80,2640100,161.06
2013-08-30,165.50,169.80,161.10,165.90,3729100,158.30
2013-08-29,163.20,166.50,161.00,164.45,9615900,156.91
2013-08-28,160.00,164.40,156.75,162.55,6577100,155.10
2013-08-27,174.00,174.00,163.50,165.50,8167400,157.91
2013-08-26,170.00,177.90,169.80,176.45,4727000,168.36
2013-08-23,167.00,169.90,165.20,168.40,2778800,160.68
2013-08-22,157.90,169.00,155.20,165.25,5949400,157.68
2013-08-21,163.00,172.90,157.00,159.50,6911000,152.19
2013-08-20,157.20,161.25,154.35,157.20,4546600,150.00
2013-08-19,168.00,168.00,159.35,161.95,2738700,154.53
2013-08-16,180.00,180.00,168.30,169.90,3894600,162.11
2013-08-15,181.15,181.15,181.15,181.15,000,172.85
2013-08-14,180.00,184.60,175.30,181.15,6515400,172.85
2013-08-13,176.10,179.30,174.50,177.60,3609400,169.46
2013-08-12,171.10,176.95,168.75,175.70,3673300,167.65
2013-08-09,168.90,168.90,168.90,168.90,000,161.16
2013-08-08,168.00,170.00,161.20,168.90,4065600,161.16
2013-08-07,159.00,169.40,154.55,165.75,6693200,158.15
2013-08-06,168.00,168.35,158.00,160.70,4222300,153.33
2013-08-05,163.50,172.70,161.05,171.45,3354600,163.59
2013-08-02,170.15,173.35,160.50,164.00,4942400,156.48
2013-08-01,170.00,177.85,163.60,168.10,10109700,160.40
2013-07-31,170.25,170.90,159.50,165.70,8474800,158.11
2013-07-30,182.45,182.70,171.00,172.10,5863500,164.21
2013-07-29,186.00,186.90,180.50,182.50,2857300,174.14
2013-07-26,195.60,196.95,186.40,189.25,4785000,180.58
2013-07-25,201.20,204.55,193.10,194.80,5699200,185.87
2013-07-24,212.00,212.40,202.10,203.30,3454600,193.98
2013-07-23,211.00,216.85,211.00,215.15,4072600,205.29
2013-07-22,209.00,213.25,206.35,208.80,3222500,199.23
2013-07-19,218.15,218.70,207.55,208.35,3696400,198.80
2013-07-18,212.70,218.00,212.10,217.05,3639900,207.10
2013-07-17,221.20,222.15,210.55,212.05,5997700,202.33
2013-07-16,232.00,232.00,219.60,220.45,5775600,210.35
2013-07-15,232.30,238.60,232.30,237.85,1155700,226.95
2013-07-12,239.65,239.65,233.75,234.70,2167900,223.94
2013-07-11,232.15,240.00,232.15,238.20,4145000,227.28
2013-07-10,228.60,232.00,227.40,228.65,2135300,218.17
2013-07-09,223.00,229.50,220.10,227.65,5054600,217.22
2013-07-08,231.70,231.70,223.60,224.75,4487700,210.82
2013-07-05,238.50,239.80,231.10,233.05,3860000,218.61
2013-07-04,240.65,242.50,233.35,235.85,4114200,221.24
2013-07-03,250.50,250.50,238.15,239.45,2486900,224.61
2013-07-02,253.55,257.90,252.30,252.85,1765900,237.18
2013-07-01,252.10,259.40,252.10,254.95,2114600,239.15
2013-06-28,254.70,256.00,251.30,254.75,2343900,238.96
2013-06-27,255.15,262.70,246.00,248.40,4018500,233.01
2013-06-26,253.00,255.75,251.35,252.70,1574500,237.04
2013-06-25,255.00,256.00,243.00,250.60,3084800,235.07
2013-06-24,255.50,258.25,250.25,253.20,1736600,237.51
2013-06-21,255.00,262.50,253.05,257.75,2539800,241.78
2013-06-20,268.40,268.75,255.00,256.40,2519400,240.51
2013-06-19,267.50,273.90,264.10,271.35,2419400,254.54
2013-06-18,269.40,269.60,264.00,267.65,1533200,251.07
2013-06-17,264.00,269.50,262.30,268.05,1789100,251.44
2013-06-14,254.95,263.50,254.55,262.30,1964300,246.05
2013-06-13,251.00,256.90,249.10,250.20,2413000,234.70
2013-06-12,253.40,258.95,246.00,255.20,3197700,239.39
2013-06-11,258.50,263.80,251.65,253.75,3879500,238.03
2013-06-10,266.50,270.35,257.90,260.10,1976700,243.98
2013-06-07,264.75,272.80,263.10,264.20,1645400,247.83
2013-06-06,266.90,269.80,262.30,265.55,1390800,249.10
2013-06-05,261.35,268.85,258.25,267.80,1872500,251.21
2013-06-04,259.00,265.75,256.20,261.75,2278300,245.53
2013-06-03,257.10,264.50,252.65,258.40,2982300,242.39
2013-05-31,270.00,272.30,253.60,255.90,2966600,240.04
2013-05-30,268.00,274.00,266.85,270.00,1484600,253.27
2013-05-29,275.00,276.60,268.60,270.25,1159100,253.50
2013-05-28,274.20,280.50,274.00,276.65,2497700,259.51
2013-05-27,276.00,276.15,271.50,274.05,1337200,257.07
2013-05-24,268.85,276.00,266.15,274.75,2688600,257.73
2013-05-23,274.00,275.00,263.15,267.50,2051300,250.92
2013-05-22,279.00,279.00,272.55,276.10,1820700,258.99
2013-05-21,277.50,280.60,272.55,276.45,4548200,259.32
2013-05-20,276.00,278.40,272.00,275.15,3180300,258.10
2013-05-17,264.10,277.30,258.70,275.60,7022000,258.52
2013-05-16,260.05,265.65,259.10,263.35,3981900,247.03
2013-05-15,248.00,260.00,247.85,259.25,3450700,243.19
2013-05-14,244.55,248.25,243.30,246.95,1299300,231.65
2013-05-13,249.00,249.80,243.05,244.05,848300,228.93
2013-05-10,248.25,252.20,247.25,249.50,1488600,234.04
2013-05-09,253.25,254.90,247.05,248.45,2026600,233.05
2013-05-08,248.00,253.35,244.40,253.25,2480500,237.56
2013-05-07,244.10,249.90,242.05,247.15,2110200,231.84
2013-05-06,242.50,247.25,241.00,244.95,1534900,229.77
2013-05-03,246.50,247.00,240.15,241.30,1515800,226.35
2013-05-02,245.40,250.40,244.05,246.50,2617500,231.23
2013-05-01,243.65,243.65,243.65,243.65,000,228.55
2013-04-30,253.10,253.90,242.10,243.65,2545600,228.55
2013-04-29,250.90,256.40,249.25,252.10,6082600,236.48
2013-04-26,234.65,250.25,229.60,247.85,9632500,232.49
2013-04-25,233.50,235.80,230.95,232.35,1882400,217.95
2013-04-24,232.25,232.25,232.25,232.25,000,217.86
2013-04-23,235.50,235.90,230.25,232.25,895700,217.86
2013-04-22,235.05,236.65,232.25,234.90,1435000,220.34
2013-04-19,233.10,233.10,233.10,233.10,000,218.66
2013-04-18,227.00,234.00,225.80,233.10,1574800,218.66
2013-04-17,230.00,231.55,224.75,226.25,1387100,212.23
2013-04-16,223.25,230.80,223.25,228.70,1977400,214.53
2013-04-15,219.00,227.00,219.00,224.90,2192200,210.96
2013-04-12,219.25,222.00,215.45,220.90,1406100,207.21
2013-04-11,220.00,220.95,215.40,217.15,1497400,203.69
2013-04-10,218.00,219.70,214.00,218.75,2116600,205.20
2013-04-09,221.55,224.15,215.75,216.85,1785700,203.41
2013-04-08,224.00,224.20,219.20,220.65,926300,206.98
2013-04-05,219.55,223.80,217.65,223.05,1840200,209.23
2013-04-04,223.00,226.35,220.00,221.95,1794000,208.20
2013-04-03,230.10,235.80,224.75,225.40,2209500,211.43
2013-04-02,224.20,233.55,224.20,232.65,1954700,218.23
2013-04-01,226.00,228.40,222.65,226.55,1457300,212.51
2013-03-29,224.90,224.90,224.90,224.90,000,210.96
2013-03-28,222.30,226.10,219.35,224.90,2614900,210.96
2013-03-27,221.90,221.90,221.90,221.90,000,208.15
2013-03-26,217.30,222.90,215.05,221.90,2524500,208.15
2013-03-25,218.00,226.30,215.15,217.30,4388300,203.84
2013-03-22,212.10,218.80,209.10,216.45,2774900,203.04
2013-03-21,222.00,224.50,209.00,211.80,6800700,198.68
2013-03-20,233.80,235.00,219.35,220.10,4668100,206.46
2013-03-19,242.10,245.90,231.55,232.80,3429000,218.37
2013-03-18,241.00,244.25,238.10,241.50,1737300,226.54
2013-03-15,245.00,248.50,240.10,241.40,3614000,226.44
2013-03-14,236.00,245.40,234.10,244.50,2763000,229.35
2013-03-13,240.00,240.00,235.00,236.50,2187400,221.85
2013-03-12,245.50,247.55,238.90,240.50,2409200,225.60
2013-03-11,251.00,252.40,245.05,245.50,1683500,230.29
2013-03-08,242.00,252.25,241.55,249.25,3449500,233.81
2013-03-07,240.50,242.55,238.25,241.55,1486700,226.58
2013-03-06,240.00,243.30,237.70,240.45,2563100,225.55
2013-03-05,225.00,242.35,225.00,239.90,2109300,225.03
2013-03-04,236.95,236.95,229.10,233.15,1859100,218.70
2013-03-01,234.00,239.00,232.90,236.85,1917500,222.17
2013-02-28,247.00,249.90,228.65,232.40,6691300,218.00
2013-02-27,242.35,247.80,238.55,246.25,3591300,230.99
2013-02-26,248.80,248.80,239.75,240.70,2471800,225.79
2013-02-25,247.45,250.00,245.00,248.80,2959600,233.38
2013-02-22,240.95,245.50,239.05,242.10,2181800,227.10
2013-02-21,245.00,246.75,239.90,240.95,2781400,226.02
2013-02-20,249.00,250.25,245.10,245.95,3307600,230.71
2013-02-19,248.75,249.20,245.00,248.20,3689100,232.82
2013-02-18,252.00,252.00,244.65,245.75,3455900,230.52
2013-02-15,252.00,255.10,242.10,248.15,5741200,232.77
2013-02-14,267.80,272.45,249.00,252.10,5648400,236.48
2013-02-13,272.20,273.75,266.65,267.95,1815800,251.35
2013-02-12,266.95,271.50,264.95,270.95,994000,254.16
2013-02-11,266.00,268.80,263.85,266.65,1051400,250.13
